,content
37,iPhoe11 的 裡子 iPhoe8 的 外型 對 於 偏愛小 螢幕 的 使用者 這支 肯定 是 首選
38,蘋果 新機 推出 這麼 快 就 有 評測 出現 非常 有效率
39,如果 拍照 不錯 那 喜歡 小 隻 的 還是 可以 買
40,有 TouchID 真的 很 方便
41,iPhoeSE 第 2 代 的 效能 應該 還是 不錯 啦 畢 竟是 新 的 CPU
42,看 iPhoeSE ( 第 2 代 ) 這個 拍照 效果 以 單顆 鏡頭 來 說 很棒 耶
43,自己 覺得 當然 是 新款 得 SE 較 好 畢 竟是 較 新 的 產品 處 理器 也 是 小手 機買 了 幾年 內 不用 太 擔心 速度 以 蘋果 的 傳統 很夠 用 了
44,其實 這次 的 iphoese 真的 不錯 唯一 比較 擔心 的 是 續航 而已 其他 的 都 很 不錯
45,跟 11 比滿 奇怪 的 阿 但 真的 喜歡 的 應該 都 還是 會 買 畢竟 處 理器 很不錯
46,想不到 iphoe 回歸 小 螢幕 我 還以 為現 在 是 螢幕 比大 的 說
47,其實 iPhoeSE 二代 和 iPhoe8 外型 基本上 一模 一樣 不過 價格變 便宜 處 理器 又 升級 真棒
48,性價 比 最好 的 愛瘋 準備 換機 囉 一手 能 掌控 最棒 了
49,單鏡頭 與 雙鏡頭 的 拍照 比測 分享 一定 會有 差異 喜歡 有 實體 按鍵 的 又 要 便宜 的 新 SE2 也 比 8 好多
50,喜歡 小台 的 還是 可以 考慮 SE2 不玩遊戲 真的 拿來 當商務機 不錯 相機 也 不錯
51,SE2 的 拍照 功能 感覺 滿陽春 的 表現 還不錯 算是 堪用 應該 可以 跟 其他 廠牌 中階機 打平
52,我 總 是 覺得 iPhoe 的 手機 拍照 功能 都 很 不錯
53,iPhoeSE 採用 A13 的 處 理器 所以 AI 的 功能 更 多
54,小巧 玲瓏 但 功能 卻 不差 拍照 真的 還不錯
55,iPhoeSE 的 拍照 應該 不錯 啦 畢亢 是 用 A13 的 處 理器 還 OK 的
56,但 不得不 說 蘋果 的 拍照 實在 是 很 厲害
57,拍 的 都 很 美
58,iPhoeSE2 比 想像中 拍 的 成像 更好 這樣 的 CP 值 真的 很 值得 購買 唷
59,照片 看起 來 蠻 不錯 的 相機 功能 是 ok 的 比 想像中 的 好 啊
60,iPhoeSE 拍照 感覺 很 不錯 啊 這次 應該 是 賣 的 很 不錯
61,iPhoeSE2 實拍 的 品質 很 不錯 決定 買 了
62,有 這樣 的 成像 表現 很 勘 一般 使用 了 讚 讚 讚
63,iPhoe 的 相機 功能 本來 就 不錯 SE2 再 利用 AI 技術 應用 更加 完美
64,iPhoeSE2 實 拍照 效果 還 真是 不錯 多 謝實 拍 分享
65,恩 很 可以 的 價格 啊 剛好 有 需要 的 趕快 下手 啦
66,iPhoe11 不到 24000 真的 便宜 很多 六色 也 充足 等不及 iPhoe12 的 朋友 真的 可以 購入 了
67,蠻不錯 的 特惠 活動 喜歡 的 人 趕快 下手
68,現在 入手 價格 非常 超值 可以 考慮 購買 iphoe11 的 效能 夠用 了
69,本周 特賣 檔期 的 折扣 相當 優惠 喜歡 iphoe11 的 朋友 可以 參考 選購 喔
70,這個 價位 相當 的 甜 相要 入手 的 快快 預約
71,喜歡 的 可以 考慮 喔 不然 就 等 12 吧
72,23990 快 接近 續約價 了 捏 非常 推薦 入手 阿
73,每次 iphoe 有 折扣 就會 心動 很 想 購買 希望 價格 還能 再 調整
74,現 在手 機 的 規格 新舊 差異 不是 很多 所以 有 優惠價 買 iphoe11 也 是 不錯
75,iPhoe11 不到 24000 真的 便宜 很多 六色 也 充足
76,iphoe11 $ 23900 元 目前 看到 最 划算 的 網路 價格
77,iPhoe11 二萬四有 找 在 整個 iPhoe 系列 算 CP 值高 的
78,不用 兩萬四 就 能 入手 還 真是 優惠 SE 要來 了 就 等等 好 了
79,23900 元 真的 很 便宜 可惜 我愛大 螢幕
80,與 其 成天 杞人 憂天 不然 當個 原始人 哈哈哈
81,Apple 的 安全性 很 高 所以 沒 必要 顧慮 這麼 多
82,這樣 的 慘樣 還能 救回 來 真的 是 無敵 中 的 無敵 厲害 100 分 了
83,哇塞 看著 文章 還 真的 很 滿足 高手 高高手
84,樓主太神 了 啦 竟然 度劫 成功 而且 超詳細 的 文章 真的 是 不 懂 不能 亂 玩 衝過 就是 神器 衝不過 就是 廢物
85,好 厲害 的 修理 技巧 居然 能 讓 手機 起死回生 謝謝 那麼 用心 分享
86,小說 應該 看 了 不少 不過 修理 技術 真的 沒話 說
87,樓主 果然 神手 每次 看到 這種 DIY 文都 是 很精采
88,好 厲害 以前 都 在 數字 那個 論壇 看到 黑手 大 的 文章 沒 想到 在 這也 看 的 到 btw 最近 也 有 好多 對岸 的 高手 拍維修 影片
89,真厲害 佩服 維修費 應該 很 可觀 哦
90,感謝 分享 整篇 跪著 看 完 期待 樓主下 篇文章
91,裡面 真的 都 燒掉 了 有點 慘樓 主超強 的 功力 十足
92,小說 應該 看 了 不少 不過 修理 技術 真的 沒話 說
93,真的 是 嘆 為 觀止 的 維修 技術 分享 實在 佩服
94,版主 真的 相當 的 專業 厲害 厲害
95,很棒 的 分享 文手 機傷 成 這樣 還能 救回 來實 在 是 太 厲害 了
96,蘋果 的 好 處 就是 隱私 規範 非常 嚴格 讓 駭客 無法 趁 虛而入
97,法國 可以 去 找 蘋果 協調 看看 但 應該 會 碰 璧 吧 而且 蘋果 和 GOOGLE 現在 就 有 在 合作 了 當然 以先 支持 本身 的 為 主
98,iPhoe12 不管 到 時 網通 是 哪個 請 放心 一定 都 還是 第一名 的 品牌 魅力 勝過 其他 疑慮
99,哈哈 其實 apple 賣 的 是 信仰 吧
100,不同 銷售 市場 的 規格 恐有 差異 是 看區 域性 配置 嗎 可見 的 5G 聯網 晶片 技術 整合性 並非事 最 理想 的 現狀
101,真的 是 很 好 的 保護 雖然 說 真的 比較 貴 但 也 可以 用 的 比 較 安心
102,還是 指紋 和 臉部 兼具 的 手機 比 較 好 有 的 還有 虹膜 這次 臉部 改善 看來 也 只是 減少 一個 滑動步 驟 但 有 重視 到 疫情 的 狀況 值得 鼓勵
103,建議 蘋果 用戶 集體 向 中國 求償
104,簡單 方便
105,我 目前 使用 這 一款 手機 戴著 口罩 也 會 辨識 得出 來 耶
106,個 人 還是 喜歡 指紋 辨識 系統 再 來 是 密碼 解鎖 最雞 肋 的 就是 FACEID 哈哈哈
107,本來 就是 多一個 選擇 比 較 好 每種 安全 辨識 都 保留 最好 廠商 這麼 做 只是 想 推廣新 技術 跟 省 成本 ( 然後有 更 大 獲利 ) 庫克 那時 開價 策略 就是 財報 好看 也 是 因為 高價 才 好看 銷量 卻 比 歷年 低
108,不管 是 FaceID 指紋 辨識 還是 密碼 輸入 感覺 都 是 有 比 較 好 這樣 不同 的 時候 都 可以 解鎖 比 較 方便
109,對 果粉 來 說 也 是 個 好消息
110,可以 重新 開門 至少 表示 美國 有些 地區 算是 控制 得 很 好
111,看來 應該 疫情 有 控制 住 了 恭喜 阿
112,每個 人 都 需要 健康 防疫 蘋果 商店 也 有責任 配合 期待 applestoe 的 重啟
113,AppleStoe 將會 逐步 重新 開張 這是 很 好 的 現象 相 對 的 疫情 也 有 趨緩
114,AppleStoe 逐步 重新 開張 這是 很 好 的 現象 說明 防疫 上 有 很 好 的 控制
115,覺得 瀏海 還滿 好看 的 阿剛 好 左右 兩邊 可以 放 各 圖示 狀態
116,出現 了 可以 預測 12 得 設計 瀏海 依然 健在 只是 變得 小 一些 其實 再也 不錯 蘋果 的 招牌 雖然 很多 手機 也 一樣 但 一開始 好像 就是 蘋果 出 的
117,瀏海縮 的 滿 小 的 整個 瀏海區域 真是 塞好 塞滿 毫不 浪費 一點點 空間 這 值得 鼓勵 話 說現 在 瀏海 是 蘋果 的 獨有 特色 後 期出 的 新機 都 沒 走 瀏 海路 線 了
118,這 算是 不錯 的 好消息 很多 人 看 不 習慣 的 厚 瀏海終 於 變小 了
119,5GiPhoe 的 價格 一定 很貴 阿 哈哈
120,UAG 很耐 摔 吧 包膜 應 該裝 透明 殼 會 好 一點
121,謝謝 開箱 分享 這次 出 的 新機 顏色 都 很 美特 別是 紫色 和 綠 色相 當顯眼
122,素 還真 看 起來 超 好看 的 貼 膜 真的 好看
123,紫色 好看 買 一 隻 送給 老婆 了 不過 最近 價格 一直 居高不下 看來 iphoe11 賣 的 很 好
124,iPhoe11 顏色裡面 我 也 覺得 紫色 最 好看 如果 是 我 的 話 也 會 跟 樓 主一樣 選 紫色 好美
125,iPhoe11 紫色 很 好看 配件 也 是 防護性 高
126,iPhoe11 ( 紫色 256GB ) 光 紫色 就 很 好看 了
127,紫色 好看 不過 最近 價格 一直 居高不下 看來 iphoe11 賣 的 很 好
128,iPhoe11 背面 的 素 還真 看 起來 很 精 緻 可惜 我 喜歡 的 是 暴力 一頁 書 XD
129,淡紫色 真的 好看 反正 先 包膜 起來 也 不會 怎樣 自己 有 爽度 比 較 重要 啦
130,恭喜 版主 入手 這麼 優質 的 手機 這個 包膜 也 相當 的 有 質感
131,這素 還真 貼膜質 感超 好 的 貼 完後超 吸晴 不過 上 了 UAG 的 殼 就 全 篕 住 了 要 保 謢 性 還 是 要 吸 晴 度 很 兩 難
132,布袋 戲的 殼 真的 很特別 UAG 還蠻 耐 摔 的 我 也 是 用 這 品牌
133,現在 單鏡頭 也 能 拍出 很棒 的 照片 處 理器 佔 很大 功勞 而且 這支 開價 只有 14500 不算 高價 我 只是 好奇 為 何不 開 14900 這樣 就 多 賺 400 啊
134,A13 晶片 強大連 單顆 鏡頭 都 對 應 景深 人像 拍 攝 效果 讚
135,反正 se 優點 也 不少 喜歡 的 就 買 不 喜歡 的 路過 即可 算是 蘋果 目前 最平價 的 一 隻
136,個 人覺 得 iPhoe 的 手機 拍照 功能 都 特別 漂亮
137,iphoe 的 軟硬體 技術 作些 系統 整合 就 可以 達到 特別 效果 蠻 厲害 的
138,如 沒特別 在意 照相 的 話 iPhoeSE 真是 不錯 的 選擇 只 可惜 螢幕 小 了點
139,處 理器 強悍 很 重要 而且 售價 上 也 很 實惠
140,iPhoeSE ( 第 2 代 ) 價格 就 很漂亮 拍照 的 效果 還是 不錯
141,iPhoe12 延到 11 月 發表 的 話 就 太好了 阿
142,有 好 的 鏡頭 也 要 有 利害 的 導演 和 製 作 團 隊 才能 拍出 這樣 的 好片
143,不錯 喔 用 自己 家 的 iphoe11 的 攝錄 影片 進而達 到 宣傳 的 作法 蠻新鮮 的
144,拍得 很 好 啊 這 一代 的 iPhoe 拍攝 部分 真的 很 厲害
145,現 在手 機錄 影品質 越來 越 好 拍 出來 的 影片 很不錯
146,超級 慢動作 拍 的 很 不錯
147,只要 有 好 的 拍 攝 技巧 還有 輔助 工具 一定 可以 當然 有 團隊 更好
148,手機 的 鏡頭 實力 不 差配 上 這導演 的 能力 影片 呈現 出來 的 結 果真 是 令人 驚訝 太棒了
149,iPhoe 錄影 真的 是 很強 悍靈 活度 很 高
150,使用 自家 的 iphoe11 攝錄 影片 可以 達到 宣傳 也 是 蠻 新鮮 的
151,iPhoe11 攝錄 實力還 真是 強悍 當時 入手 是 值得 的
152,真的 拍 的 不錯 真的 好 的 鏡頭 也 要 有 好 的 導演 才 發揮 的 出 他 的 實力
153,現 在手 機錄 影品質 越來 越 好 拍 出來 的 影片 很不錯
154,蘋果 iPhoe11 錄影 功能 更 實用 更 專業 apple 是 做 得 不錯 的
155,明年 2020 年 的 iPhoe12 值 的 買 了 期待 中
156,信仰 足夠 可以 一年 衝 2 波 啊 但是 應該 有 難度 吧 選擇 性變 多 的 時候 就是 降價 的 時候 了
157,一年 推兩次 旗艦 新機 上市 也 是 不錯 的 有 時 出個 紀念 或是 業界 合作 的 旗艦 也 是 不錯 的 方式
158,比起 週期 我 比 較 在意 的 是 希望 每 一次 推出 都 能 有 讓 人 驚艷 的 創新
159,iPhoe 新機 旗艦 一年 兩次 覺得 果粉 必是 會 買 單 的 畢竟 每個 消費者 需求 及合約 都 是 不 一 的 之中 還有 中階 或是 特別款 也 是 必然 的
160,一年 發表 一次 新機 銷售量 都 很 強悍 了 半年 一次 實在 厲害
161,APPLE 爽 就 好 了 要 多久 推旗 艦 都 可以
162,一年 兩次 的 話 應該 會 有 很多 舊換 新 活動 所以 粉絲 還是 會 買 單 的 啦
163,其他 家 都 已 經全 螢幕 設計 了 而且 也 很多 APPLE 消費者 期待 新 iphoe 有 新 設計 如果 i12 一樣 有 瀏海 真的 是 滿慘 的
164,台幣 一萬二 如果 買安卓 手機 可以 買到 很 不錯 的 了
165,看起 來 不錯 而且 價格 比 我 想像 的還 便宜 很多 希望 可以 多出 一些 型號
166,3D 壯撞 貼 名稱 蠻 有趣 的 功能 應該 會 很 不錯
167,謝謝 分享 與 介紹 下次 要 買會 考慮 的
168,感覺 很棒 但 負擔 不起 自己 的 手機 有 貼 三百多元 的 也 有 一張 十元 的 基本上 都 活得 好好 的 見仁見 智 囉
169,今天 剛好 有 上網 看到 下單 感覺 還不錯 軍綠色 的 不錯 看 期待 收到
170,看起 來 保護 效果 十分 不錯 顏色 就 看個 人
171,兩款 外型 幾乎 一樣 只有 內部 差別 較 明顯 但 保護性 很 足下 次換 殼 來 用 一下
172,看起 來 頗 為 耐 摔 只是 這 牌子 有點 陌生 耶
173,比較 喜歡 合身 一點 的 感覺
174,感謝 分享 啦 買 蘋果 再 買貴 一點 的 配件 正常 啦 哈哈
175,感謝 分享 新殼 等 你 下次 換 新手 機又會 再 買 一次 新殼 基本上 殼 都 可以 使用 滿久 的
176,小 螢幕 + 單鏡頭 + 高額頭 + 厚 下巴 看起 來 還真 復 古 啊 … …
177,喜歡 小 尺寸 手機 螢幕 的 人 還是 很多 硬體 提升 當然 效能 越棒
178,電池 起碼 也 給個 2000mAh 吧 續航 一定 好 上 不少
179,這價 錢 真的 很 划算 可以 螢幕 有些 小喜 歡大 螢幕 可以 考慮 XR
180,這樣 的 價位 cp 值 很 高 可以 買來 當備 用機
181,蘋果 走平 價路線 看來 安卓該 擔憂 了 iphoe8 升級 版 搭 13A 處 理器 效能 變好 撐個 2 年綽綽有 餘
182,iPhoeSE 實機 看過 以後還 真的 太像 i8 了 簡單 玩玩 展示 機 滑起 很 順暢 價格 也 很 優
183,很 吸引 人 阿想換 手機 這是 人之常情 的 只是 礙於現 在 價格 越來 越 高
184,這個 方案 不錯 希望 台灣 的 也 可以 比照 辦理
185,我 看 也 只有 iPhoe 系列 的 手機 二手 價格 可以 保持良好 的 回購 金額
186,這 方案 真的 很 吸引 人 下一代 一定 更強 就算 漲 也 不會漲 很多 所以 這 方案 很 超值
187,商人 都 很會算 的 我 覺得 還是 自賣 找 下 隻 特賣 的 買 最 划算 不過京 東給 的 確實 方便
188,這個 預購 的 方案 超棒 的 折 舊率 也 不必 擔心
189,中國京東 商城 的 購機 優惠有 保值 的 優點 所以 銷售 成績 一定 很 好
190,這個 方案 不錯 希望 台灣 的 也 可以 比照 辦理
191,哇 Iphoe 拚 了 其他 品牌 的 應該 不敢 跟 iphoe 依樣 推 100% 舊換 新 吧 賠到 爽死
192,這樣 非常 划算 不過 台灣 不太會 有 類似 活動
193,這個 保值 到 方案 看起 來 很 不錯 台灣 也 有 這樣 的 方案 嗎
194,也 太猛 了 吧 好多 優惠 台灣 都 不曾 看到 阿
195,真的 比 官方 Pcxx 都 便宜 看 了 地表 也 是 有 便宜 到
196,最近 很多 優惠 的 促銷 活動 價格 都 很 實惠蠻 不錯 的
197,這個 價錢 應該 是 目前 最 優惠 的 不響 等 12 的 可以 先 入手 了
198,所以 9 到底 要 不要 出來 啊 XD11 這價格 很 可以 不看 鏡頭 的 話 根本 超值
199,真的 超級 便宜 有 需要 的 朋友 快快 下手
200,可惡 又 是 在 北部 北部 都 常有 這樣 的 優惠 我 也 想要 啦
201,這個 兩鏡頭 覺得 真的 很難 看 感覺 非常 兀突 像 面上 有 兩顆 大痣
202,這價格 已 經快 逼近 我 辦續 約 的 價錢 了 捏 蠻 划算 的
203,ice
204,WOW 值得 買 可惜 我 剛換 手機 想換 手機 的 朋友 可以 參考
205,這個 價格 很 有 吸引力 哦
206,跟 一開始 上市 的 價差 差 2300 這樣 先 買 先 享受 也 不錯 呢
207,雖說 下一代 iphoe 快 上市 了 但 每 一代 的 iphoe 使用 壽命 都 蠻長 的
208,很 有感 的 降價 優惠 可以 入手 的 甜蜜 價格 也 是 可以 等 iPhoeSE2
209,可以 開始 買 手機 送 口罩 了 一定 會 很 有 效果 吧 會 不會 那些 搶 不到 口罩 的 國家 變成 為 了 口罩 買 手機 了
210,Apple 不錯 啦 幫忙 防疫 在 這樣 也 要給 個 讚
211,先 按 一 個 讚 啦 不愧 是 名牌 級 的 蘋果 公司 能 提供 面罩 給醫護 人員好 有 愛心
212,口罩 貨源 吃 緊 如果 有大廠 加入 生產 的 話 當然 是 非常 棒 的 貢獻
213,捐獻 2000 萬個 口罩 就 比 台灣 還要 多 了 耶好 猛
214,美國 的 公司 也 是 為 了 這次 防疫 全員動 了 起來 加油
215,appIe 有 投入 心力 值得 鼓勵 希望 疫情 趕快 結束
216,蘋果 也 不落 他 廠 之 後 這 面罩 以後衣錠 可以 標個 好 價位 XDD
217,Apple 投入 防疫 協助 也 是 對 品牌形象 是 有加 分 的 若 是 購買 蘋果 商品 還有 送 有 印有 APPLE 肖像 的 口罩 一組 也 是 很 不錯 的 銷售 及 防疫 方式
218,雖然 規格 無言 但 以 蘋果定 價來 說 還可 果然 還是 這 外型 好看 多 了
219,感覺 iphoe 的 價格 越來 越 親民會 吸引 更多類 apple 迷
220,新增 不少 功能 用 當然 也 有 減掉 一些 旦 相較 之下 iPhoeSE （ 第二代 ） 比 iPhoe8 性價 比來 的 高 還好 官網 14 天內 可退 在 這時 間點 買 iPhoe8 就 這麼 剛剛 好
221,A1110 奈米 A137 奈米 二代 這之間 距 離足夠 讓 SE 是 目前 所有 手機 中 最超 超值 之一 了 基本上 這區間 都 是 中國 廠牌 在 玩 的 空間
222,這個 應該 是 iphoe 最平價 的 一支 新機 se2 一買 至少 可以 用個 幾年 很 值得 重點 是 能 用 那麼 久 不換機
223,其實 看 起來 質感 還不錯 不過 47 吋 螢幕 以及 小巧 機身 除了 攜帶 方便 好像 沒什麼 好 值得 購買 的
224,iPhoeSE 的 價格 競爭力 真的 很高 規格 也 不錯 到 時 應該 也 會 賣 的 不錯
225,小 螢幕 + 單鏡頭 + 高額頭 + 厚 下巴 感覺 像是 多年 前 的 機種 外觀 設計 似乎 有點 落伍 過時 的 感覺 … … 畢竟 現今 大都 是 大 螢幕 + 多鏡頭 + 高屏 占 比 的 全 螢幕 機種 當道 的 時代 了
226,外型 幾乎 一樣 功能 上 有 進步 很多 當然 是 要 買 新 的 處 理器 就 領先 許多
227,目前 市面上 這支 47 吋 的 iPhoeSE2 好像 蠻熱門 的
228,iPhoe12Po 內建三鏡頭 的 話 算是 很大 的 突破
229,感覺 新款 iphoe12po 這次 的 相機 鏡頭 很 高級 應該 是 專業級 的 拍照 功能 一定 好 厲害
230,這幾年 IOS 用 起來 越來 越 像 安卓 了 自由度 有 提升 對 am 的 需求 也 提升 如果 這 消息 成 真 期待 小 工具 會 與 安 卓有 何差異
231,iphoe 跟進 這點 覺得 很 好 因為 小 工具 真的 是 很 方便 的 功能 至於 抄襲 adoid 的 說 法其 實近 幾年 雙方 常常 彼此 「 致敬 」 好 的 部分 互相 學習 最大 得利 者 應該 是 消費者 吧
232,真的 不錯 的 改變 大家 燈給 正 評價 期待 趕快 來 倒 時 就 知道 好不好 用
233,Adoid 桌面 可以 看天氣
234,外型 還不錯
235,價錢 開得 好 應該 會 賣 得 很棒 期待 很久 了
236,喜歡 touchID 的 人 等到 了 有 一部分 的 人 都 想要 小 螢幕 與 touchID 的 欸 價格算 不錯 應該 會 賣 的 很 好
237,規格 還不錯 紅色 真的 好看 不過 47 吋 螢幕 好 小
238,這次 最大 的 亮點 就是 價格 了 很 適合安卓用 戶想試 蘋果 又 不想 花大錢 的 人 小 螢幕 又 適合 女生 、 學生 使用 這支 應該 會 賣 得 不錯
239,終於出 來 了 價格 也 非常 親民 我 想 應該 會 預購 爆棚 加上 現在 經濟 又 不景氣
240,這外觀 真的 是 美爆 了 幾乎 無邊 框超 對 我們 果粉 那 挑剔 的 味口 熱賣 的 理由 一定 是 那 炫麗 的 外觀 韓陸廠 商多學學 啊
241,現在 很 難 找 的 到 小 隻 手機 了 這支 手機 可以 期待 一下 想要 大支 手機 可以 找安卓系統
242,CP 值 最好 的 版本 是 128G 的 16500
243,蘋果 推出 這 小手 機應 該 會 錯 的 反應 功能 規格都還 可以 會 考慮 這款 的 應該 都 是 喜歡 用 很 久 的 銷售 應該 會 不錯
244,iPhoeSE2 訂價 14500 起超 佛心 比 iPhoe8 多 1000 有 A13 處 理器 超 划算 好不好 啊 = =
245,讚 終 於 可以 換手 機能 一手 掌握 的 手機 最棒 了
246,iPhoeSE 這價格 和 規格 真的 很 吸引 人 呢
247,小手 機單 手 使用 起來 也 蠻 方便 的
248,非常 親民 的 蘋果 手機 全新 的 SE 機款 看 了 超有 興趣 的
249,雖然 規格 中 規中矩 但 這 外型 還有 指紋 辨識 ( 果然 蘋果 還是 小手 機 最 對味 ) 絕對 是 備用 機首選
250,這開價 很 不 錯會 給安卓 中階機 帶來 一些 壓力 小 螢幕 愛好者 的 首選
251,恭喜 SE2 出來 了 相信 有多人 想換 價格 也 合理
252,14500 很 便宜 阿 哪裡 不 便宜 最好 笑 的 是 有人 說 倒不如 買 iPhoe8 以 64G 來 說 只 差 1000 塊 iPhoeSE2 有 A13 就夠 超值 了
253,iPhoeSE 這價格 和 規格 真的 很 吸引 人 呢
254,Apple 的 CPU 夠強
255,依照 蘋果 的 習慣 一代 的 新 蘋果 造型 通常 會用 2 代 目前 的 造型 應該 會 延續 到 i11S 沒 意外 的 猜測
256,三星 的 螢幕 的 確是 比 較 漂亮 一點 啦 沒 錯安卓機 也 是 很多 都 有用
257,如果 新 iphoe 搭載 oled 理論 會 更 薄 沒錯 但 成本 會 更 高 吧 到 時 又 要 小漲 但 更 省 電倒 也 值得 啦
258,這樣 看 三星 的 螢幕 真的 是 很 受到 肯定 阿 真的 是 很漂亮 的 螢幕
259,用 誰 的 其實 都 沒關 係 只要 實機 推出 時 螢幕 畫面 很棒 就 好 了
260,蘋果 与 三星 合作 也 不錯 二家 都 是 大廠 牌 更 有 保障
261,他 換個 新 環境 也 很 好 看看 能 不能 激 蕩 出 更 多 的 靈感
262,JoyIve 的 新 公司 沒 意外 其 設計 還是 會 有 濃濃 的 蘋果 風 吧 白色 簡約 風不過 還是 很 期待 新 公司 的 產品 有何 驚 豔 之處
263,科技 在 進步 消費者 也 在 進步 所以 很多 幻想 與 夢 想 消費者 比設 計者 厲害然 後 推出 的 產品 沒有 幻想 的 厲害 消費者 就 有點 失望 但是 要 想想 幻想 與 夢 想 不見 得 在 現實 就 能 呈現 畢竟 有 很多 技術 需要 穩定 克服 產能 要 調 整售 價要 能 合理 才能 大眾化 於 是 就 有 很多 人會 說 手機 沒 甚麼 變化 是 因為 技術 關卡 在 那 等 新 技術 突破 就 又 有 新花招 了 所以 蘋果 誰 在 或 誰 不再 影響 不是 很多 畢竟 果粉 也 不在乎 果粉 用習 慣 了 覺得 好 用 或者 只是 因為 是 蘋果 所以 買 蘋果 會 買 單 的 人 還是 會 買 單不買 的 就是 不買 我們 是 要 祈禱 新技術 的 突破 才 有 新產品
264,還是 很 可惜 能 當任 蘋果 的 首席 設計師 應該 能力 很 好 希望 蘋果 公司 能 善用 人才
265,蠻 期待 Apple 首席 設計長 離開 蘋果 後 的 新 公司 新 作品
266,iPhoe9 的 設計 一定 是 非常 有 創意 果粉 們 也 都 引頸 期盼 趕快 上市
267,話 說 為 什麼 epice 看新聞 這裡 那個 一直 講車子 的 越來 越 多 想 來 看 電子 新聞 一直 看到 車子 真的 很煩
268,iPhoe9 黑白 一定 有 畢 竟是 經典色 不過 紅應 該 也 會 很 熱門 蘋果紅 通常 都 不錯 很 期待 看到 實機
269,還是 最 喜歡 白色 的 簡單 大方 高雅 購買 iphoe 的 唯一 選擇 色系
